epoch,loss,mae,mse,val_loss,val_mae,val_mse
0,5968.12890625,65.81412506103516,5968.12890625,NA,NA,NA
1,5964.072265625,65.70211029052734,5964.072265625,NA,NA,NA
2,5962.4267578125,65.8844985961914,5962.4267578125,NA,NA,NA
3,5962.4384765625,65.72486877441406,5962.4384765625,NA,NA,NA
4,5954.37255859375,65.55751037597656,5954.37255859375,NA,NA,NA
5,5957.44140625,65.87322235107422,5957.44140625,NA,NA,NA
6,6001.87255859375,66.40106201171875,6001.87255859375,NA,NA,NA
7,5956.84765625,65.70499420166016,5956.84765625,NA,NA,NA
8,5957.09765625,65.53866577148438,5957.09765625,NA,NA,NA
9,5958.29345703125,65.78890228271484,5958.29345703125,NA,NA,NA
